ID	tat_toxic	tat_detox1
152	Бу илнен климатысыда неправильно из пизды вышел	Бу илнең климатысы да дөрес нәрсә кебек булмый, бүтән җирдән килеп чыккан ахры.
153	Узен яша бу рашкада, мин узбэкстанда лучше яшим	Үзең яшә бу илдә, мин Үзбәкстанда тынычрак яшим.
154	Кара Эле теге пляш башны, имансыз	Кара әле теге, башы кызык кешене, имансыз инде.
155	Рамиль, кызларга тугачтында кут ими бирелэ э иргэ нэрсэ бирелэ икэн кожа пивной живот и даже мышцы надо самому качать	Рамиль, кызларга тугач ук кирәк нәрсәләр бирелә, ир-атларга исә кайбер әйберләрне үзеңә тырышып табарга туры килә.
156	Точно точно нахуй он нужен, дошик после смены на вахте	Точно-точно, аны нәрсәгә кирәк дип уйлыйсың, эштән соң гади ашау белән дә яшәргә була.
157	Путинны сайла идиот	Путинны сайла, моны акылы белән уйламыйча эшләгән кеше.
158	Хазер бук сала башлаганнар башлары унитаз сыман будущий вабще юк	Хәзер төрле әйберләр чыгара башладылар, киләчәктә бөтенләй максатсызга әйләнүе мөмкин.
159	Тварь син поганный кутенне куеп уз машинанга урмангада бара алмыйсын мин мыны сина откровенно и открыто эйтэмен кыяш сыман агнадынмы?	Син үз машинаң белән урманга бара алмыйсың, мин моны сиңа туры һәм ачыктан ачык әйтәм, кояш кебек аңладыңмы?
160	Фәхишәләргә күп акча кирәк , потенция белән проблемалар.	Кайбер кешеләргә күп акча кирәк, сәламәтлек белән проблемалар бар.
161	Картлычларны куймале заебал	Олы кешеләрне сөйләмәле, туйдырдың.
162	Телевизордан тошнит сука куп еллар	Телевизор карыйсы килми, күп еллар күз алдына килсә дә күңелгә ятмый.
163	Кутенне ойрэт, кыек тычмасын блэт	Үз-үзеңне тәртипкә китер, ялгышлыклар җибәрмә.
164	Ужас, чабата кадэр ачты, басу капкасы диярсен бл	Ужас, чабата кадәр ачылды, басу капкасы диярсең.
165	Матвей кутак сырлама блэт, язсан дорес яз	Матвей, кирәк булса дөрес итеп яз.
166	Мужикларын исерекләр рәтләре юк, сияргә түгел сегешергә килгәннәр.	Ир-атлар арасында тәртип юк, эш эшләргә түгел, вакыт уздырырга гына килгәннәр.
167	Болар күз белән генә трахать итәләр.	Бу кешеләр карап кына матур сүз гел әйтәләр.
168	Матвей, еврей телендэ пиздишь да	Матвей, һаман еврей телендә нидер уйлап чыгарып сөйлисеңмени?
169	Икранны сыта бу хэзерРыбак мудак	Икранны сыта бу хәзерге вакытта халык тырышмыйча эшли.
170	Бетмэгэн куян Булды инде бу бл	Бетмәгән куян. Булды инде бу вакытсыз.
171	Галина, Ир кэшэ кутаксыз это полный пизнец	Галина, Ир кеше карусыз булды, бу тулысынча уйламаган хәл.
172	Стукач блэт,везде есть мондый кутакбаш	Стукач инде, һәрвакыт мондый күңелсез кеше очрый.
173	Кутакбаш, булмаган бит ул инде	Кеше дә булмаган бит ул инде.
174	Русалкаларныңда төрле се бар , бляд.	Русалкаларның да төрле үзенчәлеге бар.
175	Пешмәгән егет , тыгатырганныда , тишекнедә бутаган.	Пешмәгән егет, киресен дә, урынны да буталган.
176	Полезно булса ипи манчып ашарлар Иде,блят	Полезно булса, ипи манчып ашарлар иде.
177	Татар егетлере беткенмэ бу негрдан кала	Татар егетләре кимемәгән, бары тик башка төрле кешеләр арасында да.
178	Пей сучка,кем Сина запрещает,пару норм ебни	Пей, кем сиңа тыя, бер-ике яхшы тәкъдим булганда.
179	Передачи, син бестолочь	Передачи, син һаман да буталып йөрисең, эшләр бетмәс сыман.
180	Син кайчан кутак башыннан тошэр икэн дип котэм	Син кайчан инде үз акылыңа килерсең дип көтәм, көтәм.
181	Бу корт кутак кайдан килеп чектэ	Бу кеше кайдан килеп чыкты, бер аңлап булмый.
182	Кутагама кирэк Иден бл	Миңа кирәк түгел Иден турында сөйләү.
183	Кем эчми шул кутак баш	Кем эчми, шул үзенчә аерылып тора.
184	Барысыныкыда шундый күт , берсенекнедә тишекләре аркылы түгел.	Барысыныкы да шундый үзенчәлекле, берсенекенең дә төгәл аңлаешлы түгел.
185	Хз курсетем мин сина. Фаршка затам мин сине	Хәзер күрсәтәм мин сиңа. Бөтенләй югалтасың дип әйтә алам.
186	Яратам кызларны, аларнын кутенэ кончать итергэ	Яратам кызларны, алар турында матур хыяллар корырга.
187	Чумый кыз балалар.	Кызык шудыр кыз балалар.
188	Кубрек бирген саен яшерелер алар. Так что кызлар ыялмагыз бирегез. Бирген саен яшересез	Күбрәк биргән саен серлерәк булырлар. Шуңа күрә кызлар, кыюрак булыгыз, бирегез. Биргән саен серегез артыр.
189	Бу ктб минем нэрсэм Зур Ди микэн,уже белэт полотенца тыгып куйган	Бу китап минем нәрсәм зур дип уйлый микән, инде белеп сөлге тыгып куйган, бу дип сөлге.
190	Нинди пидор коминтариясе бу?	Нинди мәгънәсез комментарий бу?
191	Передачи, Кая сиясен белми что-ли кутакбаш	Тапшырулар, Кая барасыңны белмисеңме әллә?
192	Ктблар,эшне кем ярата Ди,ул бит мужик тугел	Китаплар, эшне кем ярата ди, ул бит чын ир кеше түгел.
193	Кружка тугел,чилэк бу блят	Чәйнүк түгел, чиләк бу диярсең.
194	Бэтэк авыз блят	Төрле сүзләр сөйләмәгез әле.
195	Фәхишәләр күп акча кирәк башка проблемасы бар ,булмаса арты белән ятмас иде.	Фәхешләр күп акча кирәк башка кайгылар бар, булмаса шулай эшләмәс иде.
196	Хз чыгарам кызлар кайсыгызнын куресе киле	Белмим, кызлар кайсыгызның күрәсе килә?
197	Эллэ кулын сегеп атканнармы бу мужикнын блят	Әллә кулын үзенә зыян итеп караганнармы бу ирнең?
198	Авызың һәр вакыт готовый.	Синең авызың һәрчак әзерлектә шикелле.
199	Альберт, ничек ничек ааа,вот тишек	Альберт, ничек ничек ааа,вот шундамы.
200	Төн буе сегешеп чыккач , бик карты ашыйсың килгән.	Төн озак узып чыккач, бик карты ашыйсың килгән.
201	Мм анал каптырыр идем	Мм, кире кайтарыр идем.
202	Ике тишек , кемгә кайсы ошый.	Ике юл , кемгә кайсы ошый.
203	Теге кутакбашка везёт.	Теге кешегә гел яхшы килеп чыга.
204	Сасы диеп тормыйсындыр эле, кич житкач янына менеп ятасындыр , шул сасыны капшарга!!!	Сасы дип уйламыйсындыр эле, кич житкач янына менеп ятасындыр , шул кешене капшарга!!!
205	Эйбет итеп сегергэ кирек Хэм кончать итергэ кирек вот шул вакыта точно барасын🫄	Эйбәтләп эшләргә кирәктер һәм төгәлләп бетерергә кирәктер, вот шул вакытта точный барасын🫄.
206	Синее акчага ала что-ли, кутакбаш блят	Синең акчага ала мәллә, дип уйлыйм.
207	Суббота шулай була ул блятский туйда ерсен	Суббота шулай була ул, мәҗлесләрдә җырлыйсың.
208	Raph, аксасы булсын, похуй почтиенэ	Raph, акчасы булсын, барыбер шундамы.
209	Нам татарам один йух дигэнме ул	Нам татарам берни дә кирәкми дигәнме ул?
210	Мистер, сегенмэ,мужикларда куп заднеприводных	Мистер, тавышланма, ир-атлар арасында да үзенчәлекле кешеләр күп.
211	Сегенмэгез эле монда,татар хатыны булса сезгэ БИК шатланыр идегез,авчарка Хэзер ирлэр,орэ генэ белэлэр,э эшлэселэре килми блятлэрнен	Бозмагыз монда, татар хатыны булса, сез бу хәлгә бик шатланыр идегез, хәзер ирләр, сөйләргә генә маһирлар, ә эшләргә теләмиләр.
212	Стукач,вот стукач блят	Стукач, менә чын мәгънәсендә стукач.
213	Хайван тугел бу,ишэк бу,тотып кутен сегэргэ,и кастрюльне сидеге белэн башына киертергэ,хэшэрэт	Хайван түгел бу, ишәк бу! Үз-үзен оятка калдыра торган кеше, һич аңламыйм бу хәрәкәтләрне.
214	Кутак тырган Берер хатын кыз бн сегешергэ кирек анын Ояты юк	Берәр хатын-кыз белән аңлатып сөйләшергә кирәк, оятын югалтмас өчен.
215	Син узен кутак баш кына тугел, хэм бэтэк куз! - мин хэр вакытостэн укый башлайм	Син үзең бик кирәксез һәм үзсүзле! - Мин һәрвакыттан укый башлыйм.
216	Хатын кызлар өчен,сигәч, ышкып ышкып сөртергә.	Хатын-кызлар өчен, эшне тәмамлагач, игътибар белән тәртипкә китерергә кирәк.
217	Чыпчык малайларда , моныкы кутак	Чыпчык малайларда, бу кешенең гамәлләре бик сәер.
218	Председательнын актык жыры сука	Председательның ахыргы җыры, ләкин үкенечле шикелле.
219	Тыгасында Бер тапкыр майлысын Хэм тугыз Айдан сын Син чыгасын	Тыгасында Бер тапкыр каты душлысын һәм тугыз айдан соң син чыгасын.
220	Шунада кутак баш бит группо кутакта юк	Шунада баш бит группо тулысынча юк.
221	Алып аттыр нахуй кирэк ул	Алып аттырчы, кирәк ул.
222	Кисеп ат та евнух буласын кутагым	Кисеп ат та евнух буласын, дип әйтеп була.
223	Врачка бар .ботерелсэ пиздис була	Врачка бар, бөтенләй начар хәл була күрмәсен.
224	Виктор, Сина кирэкми дер дрочить иткэч. Мальчишка дрочишка	Виктор, сиңа кирәкмидер шундый эшләр эшләргә. Малайлар кебек яши күрмә.
225	Дебил дыр син	Син баштарак үзеңне тәртипкә китер.
226	Марат, миндэ керер идем,бочкага,кут сыймый блин	Марат, мин дә керер идем, ләкин урын таррак, сыймыйм.
227	Башыңа кияргә кирәк , башыңа кызу суккан ,аңсыз егылгансың , андый чакта күтеңне сегүчеләр табыла	Башыңа кияргә кирәк, башыңа кызу суккандыр, аңсыз егылгансың, шундый чакта көлүчеләр табыла.
228	Күтә , күт фоткаларда гомосексуалистларның бәйрәме ме	Фотосурәтләрдә нинди бәйрәм бу, аңлаша алмыйм.
229	Русалкаларныңда бләдләре бар.	Русалкаларның да шуклыклары бар.
230	Ел саен бер балык башларын чэйнилэр сукалар заебали	Ел саен бер балык калдыкларын чәйнәп, мәшәкать тудыралар.
231	Грузиядэ бастуют даже за лучшую жизнь, а рэсэй кешесе машинасын утильгэ сдавать итеп утырып калды без прав к жизнихуй драчить итеп	Грузиядә бастуют даже за лучшую жизнь, ә Россия кешесе машинасын утильгә тапшырып, тормышның авыр шартларына риза булып калды.
232	Куте жиртылды жиннарын яндрып	Киеп йөргән җиңнәр ертылды.
233	Чупре тугыз Айдан купре мене шунан Син чыктын секс мекс	Чүпрә тугыз айдан күпрәк вакыт үтте, шуннан син чыктың, уй-фикерләр белән.
234	Чето кэжэ белэн бер кояфэттэ битлэре	Нидер кәҗә белән охшашрак кыяфәттә йөзләре.
235	Кәҗә кызыл сызыктан чыгасың , сакалыңны йолкымасыннар	Кәҗә, кызыл сызыктан чыгасың, сакалыңны тәртиптә тотсыннар.
236	Кукэй курсэтуче	Үз-үзеңне күрсәтүчеләр күренә.
237	Утыр дальше е#лан,нэрсэ сина телэргэ	Утыр да дәвам ит, нәрсә сина яңадан теләргә.
238	Это точно твой день 8 марта хатын яп авызыны	Бу, 8нче март көне, синең көнеңдер бәлки, дус хатын.
239	Токордый да токордый сука	Токорды да токорды билләһи.
240	хазер атяч батякне чукып ала	Хәзер атяч батякне эләктереп ала.
241	Эйе,шулай ди,старый хрящ	Әйе, шулай ди, карт адәм.
242	Татарча язарга өйрәнең инде, чынлапта кутакбашлар икәнсез!!!!!!!	Татарча язарга өйрәнең инде, чынлап та әдәпсезләр икәнсез!!!!!!!
243	Трасса закрыта дилэр бит Сина ктб	Трасса ябылган диләр бит, сиңа ишарә.
244	Блэт,баладан аш пешермэгез берук,сукалар	Баладан аш пешермәсәгез иде, зинһар.
245	Хә ошанган ди , үзеңнең сәләмәтлегең өчедә хәер биргәнең юк , алкаш	Хә, үзеңнең сәламәтлегең өчен дә хәер биргәнең юк, эчкече кеше.
246	Эй ктблар, сез Кайда, эллэ улеп беттегезме или еще айнымадыгыз , инэгезнен башмаклары блят	Әй, сез, кайда югалдыгыз, әллә үлеп беттегезме яки әле дә айный алмадыгызмы? Әниегезнең башмаклары белән шаярасыз түгелме.
247	чын бер кутак авыз булдын инде син оятсыз	Чын әдәпсез кеше булдын инде син, синең оят юк.
248	сегеп тора ул сине чибэркэй, эле анда синен кайгы юк	Ул сиңа бик игътибар итми, ә сине уйламыйдыр да, чибәркәй.
249	Ертылганчы Деген тишек бит инде ул	Ертылганчы Деген тишек кебек нәрсә бит инде ул, Деген бит.
250	сасык нэгалэт. янына килэ торган тугелдер синен. берук искра чыгара курмэ инде, эрэм булырсын.	сасык нәрсә. Янына килергә ярамыйдыр синең. Берүк шаярып йөрмә инде, зыян күрерсең.
251	Эй шул тишек белэн ауру, болезнь блят	Эй шул тишек белән чирле әйбер, шул авыру.
252	Кил, бирэм ипи шурлегенэ с ноги	Кил, бирәм ипи савытына селтәп.
253	кутагын бау бэйлэрлек булмаса ничек тагарга сон тросны ээ.	Бәйләрлек булмаса, ничек тагарга соң тросны, әйеме.
254	Шуна таба бара инде мин считаю что нормально чонки кошелэрне житэрлек тудырдылар , кубэйделэр куда деваться не известно кызлар почти тумый или толстушкалар одни кривожопые которым денежный и сильный мужик нужен.	Шуңа таба бара инде, минемчә, ярыйсы, чөнки кошларны җитәрлек булдырдылар, күбәйделәр, кая куярга да билгесез, кызлар сирәк туа яки күбрәк үз-үзләренә ошамый торганнар, кемгә көчле, ышанычлы ир кирәк.
255	иратмы ул белээт тфу нахуй	Ир-атмы ул, аңлап булмый.
256	Сиясе килэНу син усырык ярым	Сиясе килә. Ну син артык кимсенгәнсең.
257	оятсыз ханымнарга картайгач та акыл керми, нэфселэре басылмый икэн ул биллэхии газыйм	Оятсыз ханымнарга картайгач та акыл керми, нәфселәре басылмый икән шул, бик ачык.
258	Санта килде дэ тычты и улчэп карады	Санта килде дә нәрсәдер калдырып китте һәм үлчәп карады.
259	Күтеңә бөке тыккан идеңме.	Күтеңә ниндидер әйбер тыккан идеңме.
260	Авылда кызлар калмады , шәһәр блядларын яшә	Авылда кызлар калмады, шәһәр кызлары белән яшә.
261	эшлисен килмэсэ пашул нахуй африкана	Эшлисең килмәсә, әллә Африкага барып карарга уйлыйсыңмы?
262	Туалетка тычып су белэн юдырырга счётчик чутлый чтоли?	Туалетка тычып, су белән юдырырга счётчик эшли дип уйлыйсыңмы?
263	Сон подъезда шушы ике аяклы хайван тычып йоридер.	Соң, подъезда шушы кеше тәртип бозып йөри торгандыр.
264	Кутен дэ туры	Күтеңне туры тот әле.
265	Доньянын рэте кетте, сукаЭбилэрдэ рецидивист була	Дөньяның рәте бетте, әбиләр дә көтелмәгән гамәлләр кыла.
266	дорес, дорес, алай гына да тугел эле, жыен жен секкэн нэрсэлэр утыра монда	Дөрес, дөрес, алай гына да түгел әле, җыен тәртипсез нәрсәләр утыра монда.
267	кутын нищава ...пойдет	Күтең яхшы хәлдә... пойдёт.
268	Пашол нахуй куттакбаш	Бар, кит үз юлың белән, аңлаешсыз кеше.
269	Узенннен кутенне кара долбаящер сука	Үзеңнең үзеңә дә кара инде, акыл белән эш итсәң яхшырак булыр.
270	Язырга ойрэн мудак	Язарга өйрән, үз фикереңне матур итеп җиткерергә тырыш.
271	Админ кутакбаш бит, кутак белен уйлай	Админ шулай беркатлырак уйлый, ахры.
272	Килмэ, кутак сырлап йормэ, уземэдэ эз эле	Килмә, кирәксез сүзләр сөйләп йөрмә, безнең дә эше күп.
273	Башында бер уй, бот арасындагы хуй)	Башыңда бер уй гына йөри, артык мәсьәләләр турында уйламыйсың бугай.
274	Узе тудыра бара шул уйны кут курсэтеп	Үзе дә шул фикерне тудыра, үзен күп күрсәтеп йөри.
275	кырсан каты булып чыга, ялт итэ.кутенне секкэн хэтле авыртмас	Кырсаң, катылырак була, ялт итә, әмма авыртмыйча гына үтсә, яхшырак.
276	кит авызынны сегиим, кукэенне тешли бит хэзер.	Кит, авызыңны ачма, тынычлык бозма, югыйсә чынлап үзенчә кырысрак кыланырлар.
277	Админ тагын астына сиеп ята.	Админ тагын үзен тынычсыз хәлгә калдырган бугай.
278	Хатын кызлар гына түгел минет ясаучы ирләрдә бао.	Хатын-кызлар гына түгел, ирләр арасында да үзенчәлекле кешеләр бар.
279	Берәрсен манчыйсы иде , ник бер хатын кыз күренсен , нинди булсада ярар.	Берәрсен эшкә җигеп була иде, ник бер хатын кыз күренсен, нинди булса да ярый.
280	Дөрес сүзгә җәвап юк , норкаман булганчы бләт булуың күпкә яхшы.	Дөрес сүзгә җәвап юк, норкаман булганчы, күңелеңне бозмау күпкә яхшы.
281	Нәрсә күршеңне сектеңме?	Нәрсә, күршеңне ирештердеңме?
282	э ир ат секкэн саен картая хэлсезлэнэ	Э ир-ат еш кына эшләгән саен хәлсезләнә.
283	Тэмле пильмэннэре тортлар белэн кутеннэн чыга	Тәмле пилмәннәре торты белән артыгыздан чыгып тора.
284	хоман теге тычкак не успакоится что ли?	Хоман теге тычкак тынычланмыйча калмас инде, әллә?
285	Рәхәтме, күтеңә үтсен!	Рәхәтме, бөтен күңелгә үтеп керсен!
286	башта иснэрлэр дэ аннары шуны ук сегеп тэ китэрлэр. никлэр генэ чакырдым икэн диярсен.	Башта һава сулап торырлар да, аннары нәрсә эшлиләр дип уйлый идең? Ник кенә чакырдым икән диярсең.
287	Үзең күт тишеге ялагач , бөтен кеше ялый дип уйлыйсыңмы , иснәмичә генә эшкәртерләр ,авызыңада кабтырырлар.	Үзең ни эшләгәч, бөтен кеше шулай эшли дип уйлыйсыңмы, бернинди кызыксынусыз гына чистартып эшкәртерләр, авызыңны да буш калдырмаслар.
288	фашист, гитлернын калдыгы син паразит	Фашист, Гитлерның калдыгы булып йөрмә инде.
289	кутагым авыр булсынмыни сон уул	Булсынмыни соң, ул ул бит.
290	Долбоеб кызык минде .к...ак ьаш	Кызык булып күренә, әмма баш уйласа иде бераз.
291	сэлэм пиздабол	Сәлам, әллә нәрсәләр сөйлисең бит.
292	Шул баш белән тишегеңне эшкәртә.	Шул баш белән нәрсә уйлап эшлисең?
293	давай томала тизерэк ул тишек мишекне	Давай, тизрәк шуны эшләп бетер әле.
294	Админ Батак баш	Админ, нәрсә уйлап йөрисең соң?
295	чын сегэч хатын икэн бу	Чын мәгънәсендә үзенчәлекле хатын икән бу.
296	яптваю мать утерде	Синең шаяртуың бөтенләй көтмәгәнчә булды.
297	похуй диеп яшэмисен эле, шэп иттереп койма корып ятасын	Шәп итеп, тормышка яраклы эшләр башкарасың икән әле.
298	Тормош узенне секмэсен	Тормыш һәрвакыт көтмәгән сынаулар бирмәсен иде.
299	Это бит бу ограждения не смотрел не пиздеть	Это бит бу ограждения не смотрел не чын сөйләмәгез
300	Кореец килеп кутенне сегер	Кореец килеп сиңа авыр сүз әйтер
301	ооо. супер мачо. ботен катынкызлар синеке инде блять	ооо. супер мачо. бөтен хатын-кызлар синеке инде икән
302	Туалет это ты да?Смотри кутенне тишмэсеннэр блэт	Туалет это ты да? Смотри үзеңне сакла син
303	Башта язырга өйрән кутакбаш	Башта язырга өйрән кешечә
304	Кил пилмэненгне сегэм	Кил пилмәнеңне алып кайтчы
305	эх татарлар куткя сегешмийляр бит. Кит жуляр бятяк	эх татарлар бигүк аңлый алмыйлар бит. Кит шаяручылар
306	Трансвистит була инде,или пидарас	Трансвистит була инде, яки башка төрле кеше
307	энэннен бэтэгее. эллэ кеше йорэк авырулы булыр. куркуыннан улеп китсэ.	әниеңнең хәле авырдыр. Әллә кеше йөрәк авырулы булыр. куркуыннан үлеп китсә.
308	Куркуыннан астына тычарсын блэт	Куркуыннан үзеңне тыныч тот
309	Кутен иснэр идегез ме?	Кутен иснэр идегез ме? Белэн якын танышырга телэгэн идегезме?
310	кемнен кутагын оргвтылар?	Кемнэн шуның кадәр кызык әйбер ишеттегез?
311	Сиңа барыбер булып кына кешеләрнең күте сегелми , синекен можно,барыбер булгач.	Сиңа барыбер булып кына кешеләрнең күңеленә кагылмыйлар, синең белән башкача можна, барыбер булгач.
312	оятсыз тэрбиясез манка малай	Оятсыз, тәрбиясез егет бала.
313	Шул керэк белэн тегенен бэтэгенэ	Шул кирәк белэн тегенең күңеленә.
314	ҽп мҽнән һабын бүләк һиңә дурак	Сабын бүләк итәм, чөнки шулай яхшырак булыр, дип уйлыйм.
315	Вот сина пожалуйста бит белэн кут в сборе	Менә сиңа пожалуйста, бит белән күңел янәшә килә торган урыста дип санала.
316	Кутак икан кый	Менә шундый кеше булгансың.
317	Шул кирэк сезгэ,кутак сыныклары	Шул кирәк сезгә, булдыксыз кешеләр.
318	гимаруенны суртасен бит	Гимаруеңның төп мәсьәләләрен сүрәтләрсез бит.
319	Э кыз булса куп итеп сегешкэн була кутенэ	Э кыз булса, куп итеп ачуланышып кына булмый иде, Э
320	Күтеңне серткәнче тыгып бутап алганнардыр , сертеп кенә кан чыкмый.	Күтеңне серткәнче тыгыз итеп бутап алганнардыр, сертеп кенә җиңел чыкмый.
321	Бу постоянно туалетта бук сойли,уйында только бук и туалет.Син туалет хужасы бугай.	Бу постоянно туалетта нәрсәдер сөйли, уйында только шуңа охшаган әйберләр генә. Син туалет хуҗасы бугай.
322	Күтең проходной двор ишеге.	Күтең ишек сыман һәркем өчен ачык.
323	Ананы сегим тоже	Ананы да яхшырак аңлап карыйсы иде.
324	Кутак башлар катып калдылар	Бу юлы кеше аптырап туктап калды.
325	Бу группада гел буклы кутле мужиклар.	Бу группада гел үзен сәер тотучы кешеләр бар.
326	Тычкак кыз	Уйлый-уйлый кыз гадәтләренә күз салырга булдым.
327	Кутак майга бутап	Берәрсе ничек итсә дә симертеп күрсәтмәкче бугай.
328	Кем текреген ашый?	Кем тешләрен шундый күңелсез хәлдә калдыра?
329	ул теге татар диванасы чын кутакбаш шул ул	Ул теге татар диванасы дигән кеше, чыннан да аңгырарак шул, чын шул.
330	э мин кутак. сине секкэлэп торырга	Ә мин шаяртам. Сине гел почмакка кысып куяр өчен сөйләшәм, бер сөйләшәм.
331	монда шул жыен кутак башлар гына утыралар инде. пиздаболлар басып торалардыр	Монда җыелганнарның күбесе бер дә акыл ияләре түгел. Бушка сүз күптән торадыр, шул торадыр.
332	Нәрсә инде бу , шәрә күт булса понятно.	Нәрсә инде бу, бөтенләй ялангач булса да, аңлашылыр иде.
333	Язып кына булмый , аяк тибеп акырырга кирәк , чыгып китегез на хуй.	Язып кына түгел, аяк тибеп кычкырырга кирәк: чыгып китегез барыгыз да.
334	Кем дер иван кутен ялый	Кемдер Иванга ярарга гына тырыша.
335	вэт авызын сегим ээ. чынлап та кешенен тычып утырганын тошереп йори диеп торам биит белять	Вәт сүз табып бирмичә булмый. Чынлап та кешенең уңайсызрак гамәлләрен төшереп йөриләр, дияр идем бит әле.
336	жуляр бятяк какой то	Җүләр, алдакчы бер кеше инде бу.
337	Эллэ Кут эллэ бэтэк	Җитди түгелме, әллә югарыдан сөйләшү генә бу?
338	эчен сегииим. шушындый корсак була ди мении.	Атлавын да мактап булмый. Шушындый зур корсак бармы икән, дип уйлыйм.
339	Сифилис элэктерэм но кут сегэм	Сифилис эләктерәм, ләкин нәрсә эшләгәнемне аңламыйм.
340	Кут юа а Син кул	Син нәрсә эшлисең, кулны юасыңмы-юкмы?
341	Чистый тычкак малай булдын инде, гаршок алып куй, тычасын килсэ	Чистый тычкак малае булдыӊ инде, горшок куеп тор, кирәк булса.
342	тубэтэенне сал сука, бисмиллахи. хэзер кутак кабасын	Түбәтәеңне сал, бисмиллаһи. Хәзер нәрсә эшләргә җыенасың?
343	Ач карга блэт	Ач карга, шулай бит.
344	Куерга нехуй	Куерырга урын юк.
345	авызынны сегиим. мин бит сексэн киламитыр чабам икэн биит	Авызыңны ябып тор. Мин бит сиксән километрга чабам икән, әйтергә кирәк.
346	борынын кутагым да ис сизми икэн синен бубик.	Борының белән ис сизми башладың булса кирәк.
347	Кутагыма дип берьюлы бишне атасыңмы,эт ташагы	Берьюлы бишне атарга җыенасыңмы, эт шикелле?
348	Бәтәк авыз малчи дип акырдылар кутак башлар.	Бәтәч, авызыңны яп дип акырдылар.
349	авызынны салып сегиииим. кайлардан жыелып беткэн халык буу. кутак калган мени боларга ☝	Авызынны ачып, нәрсә сөйлисең син? Кайлардан җыелып беткәннәр бу халык. Бу хәлгә ничек барып җиткәннәр инде?
350	Арган чепи хули срогы чога картая покойда тотсан рэхмэткенэ эйтэчэк	Арган кеше гомере азагына якынлашып барганда тынычлыкта торса, рәхмәт кенә әйтерләр.
351	Кутакбашлар,бердэ чэйнэми эле,тора почмакта	Әй, кешеләр, төпле карарлар белән чыгыш ясагыз, тора почмакта сөйләнмәгез.
352	Бэтэгенэ тибим шытыртатып	Сүзне кискен итеп әйтеп ташлыйсың, дөреслек тә катырак булырга мөмкин.
353	ышлюха бит ууул дилэр.	Ышанычлылармы, улым, кешеләргә шулай диләр.
354	Синдэ шуннан чыккан инде,ебанашка	Синең холкың шуннан килеп чыккандыр, дөреслек шундадыр.
355	кит на хуй шакши	Бар кит, юньлерәк нәрсә уйла, бу туры килми инде.
356	Кутак курсе икан Син...,айме?	Син кара, уйларың белән син кайда бирелеп калгансың?
357	Главное берарсе кутенне секканда бугын тошмасен	Игътибар иткәндә, бер-берсе белән аңлашу турында онытмагыз. Төшенкелеккә бирешмәгез.
358	Шундый хуйня язасыз сез. Сезгэ узегезэ противно тугелме? ТАТАРЛАР? Кемнен кутенэн нарсэ чыга?	Шундый әллә нәрсәләр язасыз сез. Үзегезгә уңайсыз түгелме, татарлар? Кемнең гамәлләре аңлашылып бетми, шуны уйлагыз.
359	И самый главный хатын кызлар яза бит,сезгэ ОЯТ былырга кирэк. Фу белэт . Сезнен очен ОЯТ бу	И иң төп хатын-кызлар яза бит, сезгә оят булырга кирәк. Фу инде. Сезнең өчен бу чыннан да оят, иң әһәмиятле яза бит, сезгә оят. Сезнең өчен бу оят.
360	Кызлар тишегеннән үләне аермый исерекме нәрсәдер иснәгәнме , күт тишегендә яла	Кызлар чынбарлыкны аңламый, әллә исерек, әллә аңын бутарлык булып иснәгәнме.
361	Эшлэгез блэт,житэр	Эшләгез инде, җитәр, эшләгез инде, җитәр.
362	Жыен инвалид жырлар кутак башына олэгэ	Жыелган кешеләр җырлый, башкаларга аңлашылмый.
363	аракы сорап заебал син белэт	Аракы сорауны туктат инде, аркыны сорауны туктат.
364	Петух гамбургский, админы алмашынган	Бик үзенчәлекле берәү, админнар алмашынган.
365	Усырып утырам	Үзем өчен утырам.
366	кутак та ишлямим	Җитди эшләмим, эшләмим дә.
367	Колакта каян бук булсын,сантый белат?	Колакта каян чыккан нәрсә булсын, шул турыда уйлагансызмы?
368	Эшлэре юк пиздюкларнын,шуна сугышып йорилэр!	Бушка калган эшләре юк, шуңа тавыш чыгаралар.
369	Бу актанышские курицынын админы пиздюк!	Бу актанышские курицынын админы бик сәер кеше!
370	Иди на хуй,орк тупорылый..!	Юлыңны тап, ташлап кит инде.
371	сукалар кузгэ карап ыргыталар! авызларына или ыштаннарына тыгып шартлатсыннар инде чыдай алмагач!	Сукалар күзгә карап ыргыталар! Авызларына яки ыштаннарына тыгып шартлатсыннар инде, башкача түзә алмасалар!
372	Мин бер кешене белэм, ул 4 пиранье агиделгэ жибэрде, мона кадэр алар аквариумда яшэгэн, теге пираньелар агиделдэ размножаться иться пиздиц безгэ!	Мин бер кешене беләм, ул 4 пиранья Агиделгә җибәрде, моңа кадәр алар аквариумда яшәгән, теге пираньелар Агиделдә үрчергә мөмкин, монысы безнең өчен борчу алай да!
373	Наконец то Актаныш горли буген яшлек тирэсе тулган , пиздюкпатия барадыр новерное!)))	Ниһаять, Актаныш горли, бүген Яшьлек тирәсе тулы, күңелле чара барадыр, мөгаен!)))
374	\"Пиздец инде сез\" дип... Монда утыручыларнын ни гаебе бар? Ник безне сугэсен?	Ай кызык инде сез дип... Монда утыручыларның ни гаебе бар? Нигә безне гаеплисең?
