ID	toxic_elem	non_toxic_elem
249	"насрать" икән, күтеңне бөтен җиргә тыгып йөрмә	"насрать" икән, бөтен җиргә йөрмә
250	Алмаз, картайгач узенне маржа гроб ка салып жирляся аерманы курерсен	Алмаз, картайгач гроб ка жирляся аерманы
251	Актанышта инде берэр проблема чыкса , проблеманыны решайтучесе менэ шулай башлый: Нэмэ нахуй !!!))))	проблема чыкса , проблеманыны решайтучесе менэ Нэмэ !!!))))
252	29.03.14 ахуенный бер эйбер булды Актанытаа)	29.03.14 ахуенный бер эйбер Актанытаа)
253	ахуенный биедегез	ахуенный
254	Авылда бер маржа бушка товар таратып йори	Авылда бер таратып йори
255	но бэтэкне саклап йорергэме инде алар очен хэзер.алтын кутак тапканчы.	но саклап йорергэме хэзер.алтын тапканчы.
256	Рамис Абзый блядь нинди контра инде?	Рамис Абзый нинди контра
257	Гта 5 бэрергэ кирэк уже,нефига утеп булмый	Гта 5 бэрергэ кирэк уже,нефига утеп булмый
258	Тагын маржача язарга тотындылар=((((	язарга тотындылар=((((
259	шундый ук хуйня булды;)	
260	Бик охуенный жырлар!	Бик охуенный
261	авызыгызны сегим сугенмэгез эле иптэшлэр) гонах бит)	авызыгызны сугенмэгез эле гонах
262	Хуш, кукэем, сау бул, мин килгэнче дэу бул!	Хуш, кукэем, сау бул, мин килгэнче дэу бул!
263	Эээ, оныта язганмын, мэхэбэтэклэренэ миннэн бик зур хэм кайнар сэлэм!!!	Эээ, оныта язганмын, мэхэбэтэклэренэ миннэн бик зур хэм кайнар сэлэм!!!
264	Минемчэ хэр бер тартар баласына шулай эйтэлэр: Балам маржалар белэн ери курмэ!	Минемчэ хэр бер тартар эйтэлэр: Балам белэн ери
265	Илхам магазинындагы сатучы акча чутлый белми,мин бирдем ана 10сум хэм сатып алдым 7сумлык бер херняны,и она мне дала сдачу 7руб.	Илхам магазинындагы чутлый белми,мин бирдем ана 10сум хэм сатып алдым 7сумлык бер херняны,и она мне дала сдачу 7руб.
266	Егетлэр маржа сезне мэнге хормэт итмэячэк ,хыялланмагыз .	сезне мэнге хормэт итмэячэк ,хыялланмагыз .
267	Хормэт итеп татар телен ойрэнгэн бер генэ маржаны курсэтегез яисэ татар гореф гэдэтен тоткан ислам кабул иткэн …	Хормэт итеп ойрэнгэн бер генэ яисэ гореф гэдэтен тоткан ислам кабул …
268	Чаллыда квартира снимать итергэ кеше кирэк:) хуйня-муйня язмагыз))	Чаллыда квартира снимать итергэ кирэк:) хуйня-муйня
269	Бэз татар, бэз булдырабыз, анаболики для лохов!!!!	Бэз бэз булдырабыз, анаболики для лохов!!!!
270	я хуею урманда да урам исемнэре бар икэн	я хуею урманда да исемнэре бар
271	Безнен урамнан йогерэ башласан,  дунгыз булып кайтырсын	урамнан йогерэ булып кайтырсын
272	Каян килгэн дунгыз тагын ?	Каян килгэн ?
273	Нык матур итеп ял иткэннэр шушы коннэрдэ э артыннан жыештырмаганнар мэгэнэсез жыен!	Нык матур итеп иткэннэр коннэрдэ э артыннан жыештырмаганнар
274	 Бу кул янында ял итучелэр (дунгызлыр)!	кул янында итучелэр
275	Аларның дуңгызлар икәнен болай  да белә идек,тагы бер кат расладылар.	Аларның икәнен да белә идек,тагы бер кат расладылар.
276	Стена артындагы “дуңгыз”, карават пружиналарын шыгырдатып, икенче ягына әйләнеп ятты бугай.	Стена артындагы карават пружиналарын икенче әйләнеп ятты
277	Бирән, төнлә дә күшәп ятмасаң!	Бирән, төнлә дә күшәп ятмасаң!
278	Кызлар мин теге конне качкан дунгыз малаен таптым.	мин конне качкан таптым.
279	мин аны дунгыз урынына эчеп йоридер дип эзлэп йорим,собаканы	мин аны урынына эчеп йоридер дип эзлэп йорим,собаканы
280	Мин дэ шулай уйлыйым...лэкин бар дунгыз кешелер,кемдэ икенче уй бар(	Мин дэ уйлыйым...лэкин бар кешелер,кемдэ икенче бар(
281	Дуңгызлар үзләренең дуңгызлыкларын тагы бер кат расладылар.	үзләренең дуңгызлыкларын тагы бер кат расладылар.
282	Нинди дуңгыз бу	Нинди
283	баланы шулай мыскыл итеп була мени ..., дунгызлар ((	баланы итеп була мени ..., ((
284	Тагын дуңгыз булып кайткан!	булып кайткан!
285	дунгыз булганчы эчергэ 11 калды	булганчы эчергэ 11
286	Теге дунгыз айныган бит.	айныган
287	Таеп егылсаң, "дуңгыз булганчы эчкән"...	Таеп егылсаң, булганчы эчкән"...
288	эх син ужым бозавы,тагын дунгыз булгансын бит инде=)))))))))))	эх ужым бозавы,тагын булгансын
289	Тагын дуңгыз булып кайткан!	булып кайткан!
290	укол ясаганда егет кутен карап торырга вакыт юк	укол ясаганда торырга вакыт
291	Чыксан кутенне сегэлэр, тоннэ куренми, тэрэзэдэн башынны чыгарып йорергэ кирэк))))	Чыксан сегэлэр, тоннэ куренми, тэрэзэдэн чыгарып йорергэ кирэк))))
292	курэм, кутенэ бераз бирэсе бар.	курэм, бераз бирэсе бар.
293	ни ошамый сина... гел кешегэ бэйлэнэсен, лучше авызынны ябып,кутенне кысып кына утырсан иде.. ошамый икэн, ут тэ кит..	ни гел бэйлэнэсен, лучше авызынны ябып,кутенне кысып кына утырсан ут тэ
294	Ашама,кутен кортлый	Ашама,кутен кортлый
295	Эйтмэ дэ, тотып эшкерэсе нэрсэ!!!))))))	Эйтмэ дэ, тотып
296	Нинди спорт ди ана, кутен кутэреп йоклый энэ)))))))	Нинди спорт ди ана, кутэреп йоклый энэ)))))))
297	ул татарлардагына бар           балам башына ки кутен ката бит	татарлардагына бар балам башына ката
298	Ә авыл бәдрәфе вапще жәннәт инде,жәй көне чебен тулган,кыш көне күт ката	Ә авыл бәдрәфе вапще жәннәт көне чебен тулган,кыш көне ката
299	Кечерткән белән күтенә	Кечерткән белән
300	кайсы тилелэрегез укырга барды буген??)	кайсы тилелэрегез укырга барды буген??)
301	Җаныма җитсәң, күтеңә каеш эләгәчәк!	Җаныма җитсәң, каеш эләгәчәк!
302	Все кызыйкалар куп суз ,какашка суз ,тыныч йокы )	Все кызыйкалар ,тыныч йокы )
303	Че-то күтем сизә,редакциягә хә хатлар белән бөтен илдән бамбук киләчәк:))	Че-то күтем сизә,редакциягә хә хатлар белән бөтен илдән бамбук киләчәк:))
304	Инәңнең күте, монда эзләнсәң н игенә юк) атан бн анаң гына юк, тырышсаң анысында табып була)	Инәңнең эзләнсәң н игенә бн анаң анысында табып була)
305	Син шул төшеңдә генә шпилить итеп йөр инде аны.	төшеңдә шпилить итеп йөр аны.
306	вот блин ә ( мин сиңабер дигән егет таптым ә син аның күтенә типтең дисә дә була	вот ә ( мин сиңабер дигән таптым ә аның дисә дә була
307	кем ангыра инде?))))))))))	кем
308	Хыялланып утырма, пәп ит әнә күтемне!!!	Хыялланып әнә күтемне!!!
309	Дәү әни әйтмешли, күкнең күте тишелгән))))	Дәү әни күкнең тишелгән))))
310	Шайтан кутагы турында фикер белдерелде.	турында фикер белдерелде.
311	Күте, күзләре һәм тәненең башка өлешләре турында нәрсә әйтеп була икән?	күзләре һәм тәненең өлешләре турында нәрсә була икән?
312	тиле кебек Саратовка күтемне күтәреп киттем, ә миңа монда әлдә 2 ел торырга.	тиле Саратовка күтемне күтәреп киттем, ә миңа әлдә 2 ел торырга.
313	Әгәр дөнья сиңа күте белән борылса, күтенә тип	Әгәр дөнья сиңа белән борылса, тип
314	күтең с...п эшләрсең, мин ял итәм)))	с...п эшләрсең, мин итәм)))
315	Әгәрдә дөнья сезгә күте белән борылган икән..тибегез	Әгәрдә дөнья сезгә белән борылган икән..тибегез
316	күтеңнән пар чыкканчы бие	пар чыкканчы бие
317	Мин аларның керәшен булганнары өчен түгел, ә безнең Татар милләтенең бер өлеше булган өчен  "күтемне ертам".	Мин аларның булганнары ә безнең милләтенең бер өлеше булган "күтемне ертам".
318	Сезнең моны аңларлык миегез генә юк.	Сезнең аңларлык миегез
319	Ноктаңны күтеңә тык...	Ноктаңны тык...
320	хуйня ул,тазалык кына булсын)беткэн чтоль кеше..:)	кына булсын)беткэн
321	Вэт сугенергэ мэжбур итэ)))) блять))	Вэт сугенергэ мэжбур итэ))))
322	Хэ шулай язып - эйтеп карасынлар але блять	Хэ язып - карасынлар але
323	Ну бляха-муха безнен авылда кызлар урысоар артларыннан чабып йорилэр.	Ну бляха-муха авылда артларыннан чабып йорилэр.
324	кысасы килэ Инде ул урыслардан.	
325	Акыллы әйтер — юл куйдым, ахмак әйтер — җиңдем.	Акыллы әйтер — юл куйдым, ахмак әйтер —
326	мин бу кызларга ахуеваю!	мин ахуеваю!
327	болай да анлашыла бит, нахуй бэйлэнэсез кешегэ)	да анлашыла бэйлэнэсез
328	Бала чага хуйнясе  энэн бэтэге эшлэ инде	энэн
329	Ә Амалия, Илларияларны мескен, үз татарлыкларыннан оялган ахмаклар гына кушадыр ул.	Ә Амалия, Илларияларны мескен, үз татарлыкларыннан оялган кушадыр
330	Нинди абсурд, нинди ахмак сорау?	Нинди абсурд, нинди ахмак сорау?
331	Аңламыйча, ахмак, эшнең төбен,	Аңламыйча, ахмак, эшнең төбен,
332	хуйня ул, минем абый мине кыйнаган вакыты да булды саташып_)))	минем абый мине кыйнаган вакыты да саташып_)))
333	башын исэн булсын:)калганы хуйня	исэн булсын:)калганы
334	Ул кызнын долбоеб икэнен генэ анлата.	икэнен генэ анлата.
335	Белемсезлектән һәм бу илнең пропагандасыннан чыккан мәгънәсез ахмаклык ул. 	Белемсезлектән һәм илнең пропагандасыннан чыккан мәгънәсез ахмаклык
336	Рамис, ул бит синнэн хуйнямы бу дип сормаган	Рамис, синнэн дип сормаган
337	Акыллы кешеләр ярдәм итәр,ә көлүче ахмаклар булса,аларга төкерегез.	Акыллы ярдәм итәр,ә көлүче булса,аларга төкерегез.
338	телевизор аша алар телэгэн гавноинформация бара бит.	телевизор телэгэн гавноинформация
339	э безнен ,комп аша утыра алмаган бабай-этилэр шул гавно инфага ышанып утыралар.	э ,комп алмаган бабай-этилэр инфага ышанып
340	хуйня ул, главный тазалык булсын_)))	главный
341	моны синен егетен укыса ахуеет дина	синен укыса дина
342	дура бляадь тупая ,оныта алма мине,укен гомерен буе!!!	тупая ,оныта алма мине,укен гомерен буе!!!
343	Юк бля сине	
344	Баланны берэр еблан шушы хуйняга утыртса?	Баланны утыртса?
345	бля мин баралмыйм))	мин баралмыйм))
346	ну теге иине бар бит ине шунда баай теге айбер инда беласен але аны бар бит ине бер нарсса,ну анлаталмыйм ине ну теге ине все теге бля теге дим мин сина	ну иине бар шунда баай айбер инда беласен але аны бар бер нарсса,ну анлаталмыйм ну все дим мин
347	Ваемсыз халык шундый аермасын сизмэсэ, ботенлэй ахмак, надан икэне.	Ваемсыз сизмэсэ, ботенлэй ахмак, надан
348	Тэки тузмэдем, ачуны чыгардыгыз юк бар нэрсэ бн блять	Тэки тузмэдем, ачуны чыгардыгыз бар бн
349	Ну блин мындый хуйняны язмыйлар бит Инде)))	Ну язмыйлар
350	Заипали бу сорауларыгыз бн	сорауларыгыз бн
351	бля братан сине тагымыйм мин, Татарстан дигэч гэрсэ эйткэнне бик яхшы ан,ладын бит син	братан тагымыйм мин, Татарстан дигэч эйткэнне бик яхшы ан,ладын
352	Нахуй бы жибэрер идем,алдан уйларга кирэк,ул мина ошамый дип йорисе тугел	бы жибэрер идем,алдан уйларга кирэк,ул мина дип йорисе
353	хуйня ул, главный тазалык булсын_)	главный
354	Тик бу ахмак сүзне әйтер алдыннан,күп итеп акча туплап куярга онытмагыз.	Тик ахмак сүзне әйтер алдыннан,күп итеп туплап онытмагыз.
355	урысларга ярарга тырышып исем фамилияне узгэрту ахмаклык инде ул.	ярарга тырышып исем фамилияне узгэрту ахмаклык
356	йормэсен иде долбаеб белэн, монда язып какой толк инде аны	йормэсен белэн, язып какой толк аны
357	Менэ яхшы сузлэр бу ичмасам)хуйня "гонять" итеп тэк утыра)	Менэ яхшы сузлэр ичмасам)хуйня "гонять" итеп тэк
358	Анын исэрлэнгэнен курсэгез, ушыгыз бетэ, слишком выебывается, ул бии белсэ эле можно промолчать.	Анын исэрлэнгэнен курсэгез, ушыгыз бетэ, слишком белсэ эле можно промолчать.
359	иртэгэ 1нче апрель,алданып бетербез инде бля))))	иртэгэ 1нче апрель,алданып бетербез
360	Хэ бля йогерэм сина акча салырга хахаха. Сектем эле.	Хэ йогерэм салырга хахаха. эле.
361	Аллаһы Тәгаләнең кануннары туктамыйча эшли, берәр милләт, дәүләт яки башка бер төркемгә аерым таләпләр кагылганын уйлау ахмаклык. 	Аллаһы Тәгаләнең кануннары туктамыйча эшли, берәр милләт, дәүләт яки бер төркемгә аерым таләпләр кагылганын ахмаклык.
362	хуйня га эйлэндереп бетерделэр группаны	га эйлэндереп бетерделэр группаны
363	Ой бля ботенесе умный шундый	Ой ботенесе
364	ир булгач кукэемэ спрашивайларда утыра соң ул, семейный эшлэр бн шөгыллэнсен	ир булгач кукэемэ спрашивайларда соң семейный бн шөгыллэнсен
365	Анон, айда не бзди, эле генэ шулай сойлэнэсен син.	Анон, айда не бзди, эле генэ сойлэнэсен
366	бляха муха..вот ошый, гашыйк будым шул машинага	бляха муха..вот гашыйк будым машинага
367	Синен бер генэ тон йокламаганын хуйня ул)мин анын белэн ботенлэй саубуллаштым)	Синен бер генэ тон йокламаганын ул)мин анын белэн ботенлэй саубуллаштым)
368	Доресен эйтэм кайбер пешиход охуевать итэ)	Доресен эйтэм кайбер пешиход охуевать итэ)
369	Гулечка, Резеда, мозга сегеп утырмагыз, сез алай да булдыра алмыйсыздыр эле	Гулечка, Резеда, мозга сез да булдыра алмыйсыздыр эле
370	Бля , заебали жырнын сузлэрен язып	, жырнын сузлэрен язып
371	Шуннан бер маржа эбиен керэдэ	Шуннан бер эбиен керэдэ
372	Хатын кыз исэр инде ул,кием заказать итэ материал не-то,чэчэк заказать итэ черегэн,торт заказать итэ ошамый,кут...ма магазиннан белгэн жирдэн барып алмый ??	исэр ул,кием заказать итэ материал не-то,чэчэк заказать итэ черегэн,торт заказать итэ ошамый,кут...ма магазиннан белгэн жирдэн барып алмый ??
373	Узегез гаепле барышнялар хэзер ботен эйбердэ бар магазиннарда ,очсызга алам диеп хуета аласыз аннары жылыйсыз	гаепле барышнялар хэзер ботен бар магазиннарда ,очсызга алам диеп хуета аласыз аннары жылыйсыз
374	маржа да шул татар инде ул	да
375	андыйлар дохуя	андыйлар дохуя
376	Ләкин вакыт узган була, хатын марҗа, балалар урыслар, урыс гаиләсе була, хөрмәт юкка чыга, талашулар башлана.	Ләкин вакыт узган була, балалар гаиләсе була, хөрмәт юкка чыга, талашулар башлана.
377	Мунча заебись ,кара мунча булмаса.	Мунча заебись мунча булмаса.
378	Кайберлэре маржалардан да арттыра!	Кайберлэре да арттыра!
379	Аның хатыны марҗа, шуңа күрә аңлап бетерми.	Аның шуңа күрә аңлап бетерми.
380	Матрешка марҗаларныкы	Матрешка марҗаларныкы
381	Татарча сөйләшәбез,ләкин,балалар бакчасының марҗа тәрбиячесе белән аралашу,балага тискәре йогынты ясый.	сөйләшәбез,ләкин,балалар бакчасының тәрбиячесе белән аралашу,балага тискәре йогынты ясый.
382	дискотекага жырлар жибэрегез))прям охуенныларны))	дискотекага жибэрегез))прям охуенныларны))
383	Bäräkät дип яза башласак татарлар тилерә башлаган диярләр	Bäräkät дип яза башласак диярләр
384	минем киленнэр маржа	минем киленнэр
385	чыктым аркылы купер булды бу..маржадан башланып киткэн иде, анары яшкы бн энесе, шуннан сон бурегэ эйлэнде.. 	чыктым аркылы купер бу..маржадан башланып киткэн яшкы бн энесе, шуннан сон бурегэ эйлэнде..
386	Форднын 2гына Эйбэт 3 кузов Зур эчендэ урын Юк ни хуя.	Форднын Эйбэт 3 кузов Зур эчендэ урын ни хуя.
387	Безнен егетлэр ин чибэрлэр,маржалардан караганда)))	чибэрлэр,маржалардан караганда)))
388	Әгәр без хәзер бабалардан калган мирасларны сакламасак киләчәк буыннарыбыз урыс марҗалардан ким булмас.	Әгәр без хәзер калган мирасларны сакламасак киләчәк буыннарыбыз марҗалардан ким булмас.
389	Синен кебек тилелэр булса гына инде	Синен тилелэр булса
390	мин сине маржага бирмим)	мин бирмим)
391	сегеп салды инде ул))	салды
392	Хомзин заебал барда кайт инде	Хомзин барда кайт
393	Кутлэрен сегеп бетерэсе бар аларнын	Кутлэрен бетерэсе бар аларнын
394	Татарча гына язмыйлар,күбрәк марҗача.	язмыйлар,күбрәк
395	булыр бар ул ташлашсан аннары охуеешь как тяжело	булыр бар ташлашсан аннары охуеешь как тяжело
396	Язып тормыйм инде, а то охуеете	Язып а то охуеете
397	менә җәмәгать, бәрәнгене корт басты, ә авылны марҗа басты...	менә бәрәнгене корт басты, ә авылны басты...
398	бер "маржа" килгэн ич )))) укытучылар аны ойретергэ телилэр)) поп корн алып хэм карап момкинлек бар)))	бер килгэн ич )))) укытучылар аны ойретергэ телилэр)) поп хэм момкинлек бар)))
399	булды инде бер тапкыр,узе гаепле,илялэнделэр белэт,хэр бер кургэн кешегэ мин сине яратам диергэ,тора башлагач мавыгу гына дилэр,фу как сез заебали.	бер тапкыр,узе гаепле,илялэнделэр белэт,хэр бер кургэн мин яратам диергэ,тора башлагач мавыгу дилэр,фу как сез
400	Ләкин татар нидер үзенекен уйлый башласа, марҗаның каны кыза башлый	Ләкин нидер башласа, марҗаның каны
401	Күрерсегез, килеп чыга хәзер марҗалар белән йөргән-торган әдәмнәр, яклый башларлар.	Күрерсегез, чыга хәзер белән йөргән-торган әдәмнәр, яклый
402	2014нче ел ваще хуевый	2014нче ел ваще хуевый
403	татар кызлары юк) шуна курэ маржаларга эйлэнэлэр)	шуна эйлэнэлэр)
404	Татар малае -маржа кызы белэн	белэн
405	Чистый маржа булган бу	Чистый булган
406	Хәтта марҗа кызлары да безнең туган телне популярлаштыра, алга этәрә.	Хәтта да безнең телне популярлаштыра, алга этәрә.
407	карап утырдымда,уйлап куйдым эле,мин акшта укыган вакытта кечкенэ генэ булып йоргэн кызлар,хэзер бигрэк усеп киткэннэр,менэ тиз утэ икан гомер,мин прям даже прихуел бераз)))..	утырдымда,уйлап куйдым эле,мин акшта укыган вакытта кечкенэ генэ булып кызлар,хэзер бигрэк усеп киткэннэр,менэ тиз утэ икан гомер,мин прям даже прихуел бераз)))..
408	татар кызы ир эзли,сез тилерешеп чыгасыз.	ир эзли,сез тилерешеп чыгасыз.
409	б*эт татар палатасы пит бу, маржалар палатасы тугел ич	палатасы пит палатасы ич
410	эллэ минем тиле генэ тилерэме шул танчики дип?	минем тиле генэ тилерэме танчики дип?
411	безнен урам шундый заебись инде ул	заебись
412	Алмаз, сине тугел мине дэ сегеп ата кай вакыт))	Алмаз, мине дэ ата кай вакыт))
413	Икесендэ карадым заебись фильм   	Икесендэ карадым заебись фильм
414	татар кызларын хурлап язганнар шунын очен маржа алыгыз дидем.	хурлап язганнар шунын
415	Ипи кибетендэ,дененне сегим  	Ипи кибетендэ,дененне
416	Тик әнкәйдә дә әнисе язмышы - ир кайтмый,командирының кызы -марҗага өйләнеп,хезмәт иткән шәһәрендә кала.	Тик әнкәйдә дә әнисе язмышы - ир кайтмый,командирының өйләнеп,хезмәт иткән шәһәрендә кала.
417	юлэр син,ашамыйча кызлар куып йорисен	юлэр син,ашамыйча йорисен
418	Яра инде заеб кеше колдереп утырмагыз монда)))	Яра колдереп
419	маржа булса да ярый)	булса да
420	Торкемгэ керэсен, кайчак аптырап куям-эллэ мин маржа торкеменэ ялгыш кердем микэн дип?	Торкемгэ кайчак аптырап куям-эллэ мин торкеменэ ялгыш кердем дип?
421	Эллэ инде ошбу торкемдэ манкортлар утыра?...	ошбу торкемдэ
422	Пешеходные Актаныш та морда охуевший машина кургэч кирелеп чыгалар торле момент була.	Пешеходные та охуевший машина кургэч чыгалар торле момент була.
423	агач утыртып бетерделэр юл читенэ кем Килеп чыга анда хуй знать	утыртып бетерделэр юл читенэ кем чыга анда знать
424	Бу инде маржаларны да артта калдырган	да калдырган
425	Татар кызлар яратам, маржалар мина кирэкмий	яратам, мина кирэкмий
426	Шулай кирәк, ләкин  марҗалар үкерә башлыячаклар.	кирәк, ләкин үкерә башлыячаклар.
427	Бар бер инструктор Исеме булырНэкыйп, Узе кутакта белми Безне йогертэ знаккарарга дип	Бар бер инструктор Исеме булырНэкыйп, белми Безне йогертэ знаккарарга дип
428	Марҗа һәрвакыт марҗа булып кала, татарча сөйләшсә дә, мөселман булып кыланса да, үзенә үзе хыянәт итми.	һәрвакыт булып кала, сөйләшсә дә, мөселман булып кыланса да, үзенә үзе хыянәт итми.
429	Нихуя себе эниеннэн элэгэ сина сакланырга ярама ды чтоли	Нихуя себе эниеннэн элэгэ сакланырга ярама
430	Бәлки, марҗа сатучыга апаның милләте ошамадымы?	Бәлки, милләте ошамадымы?
431	Берәр марҗа язгавндыр инде, татарлар боолай язмас.	Берәр язгавндыр язмас.
432	Мич башында марҗа әби,	Мич башында
433	марҗа күрдем дип, ул хәтле башны югалтмыйлар)	күрдем дип, хәтле югалтмыйлар)
434	Заебали инде,жеп бирэм кирэк булса бер нинди таблеткалар да кирэк булмас	инде,жеп кирэк булса бер нинди таблеткалар да кирэк булмас
435	дохуя причина тагынКонкрет яз ничек ничек икэнен.	дохуя причина тагынКонкрет яз ничек ничек икэнен.
436	Икегездэ бер тиле икэнсез	Икегездэ бер тиле икэнсез
437	Танышым марҗа хатыны белән аерылыштылар яңа гына, җәй башында үтереп мактаган иде, хәзер әйтә, Аллага шөкер, котылдым, ди)	Танышым белән аерылыштылар җәй башында мактаган хәзер әйтә, Аллага шөкер, котылдым, ди)
438	белмим мине не заебал:)))))минем куптэн бетте ул:)	белмим мине не заебал:)))))минем куптэн бетте
439	Арчада кем дохуя сүгенә,спалился син	Арчада кем дохуя сүгенә,спалился
440	Алайса балаң үскәч марҗаларга тартылачак.	Алайса үскәч тартылачак.
441	эй жыен хуйня-муйня устереп сатасында, аннары кутэрелэсен инде)))))	хуйня-муйня устереп сатасында, аннары кутэрелэсен
442	Главное маржа булмасын	булмасын
443	Анда заебись бугай!	Анда заебись
444	хотя, минем мархум бабай эйтэ иде" заманасына кутак та булмаган анын, а вот кешесенэ булган"ди иде	хотя, минем мархум бабай эйтэ заманасына та анын, а вот кешесенэ булган"ди
445	Кемгэ кирэк шул укысын,суеп утерэм дисэлэр дэ эшли алмыйм шул кутакгесларны	кирэк укысын,суеп утерэм дисэлэр дэ эшли алмыйм кутакгесларны
446	Эй кутак кына  илэмэгез  инде: )	кына илэмэгез )
447	Егереп тоштем бакчага йогерме тиен акчага акчча тугел таш икэн вои син кутак баш икэн	Егереп тоштем йогерме тиен акчча вои
448	Синен кутак эшен бармы сон анда?)	Синен эшен бармы сон анда?)
449	белэт кая фоткалар,яналыклар,кутакта эшлэмисез пииизду)))))	кая фоткалар,яналыклар,кутакта эшлэмисез пииизду)))))
450	Эчеп барсан вообще пиздец була сина.	Эчеп вообще була
451	да да,5 аилык бала белэн 1 сэгать очереть торырга кирэк жыен чирле кеше янында,еще кергэч грубить иткэн булалар кутак башлар белэт!!!!!!	да да,5 аилык белэн 1 сэгать очереть торырга кирэк чирле янында,еще кергэч булалар
452	кыска итэклэр темасына багышлап)))не опсикайтись)	кыска темасына багышлап)))не опсикайтись)
453	э эгэрдэ мудак булса, аны кыз уз кулында тотарга кирэк, минемчэ)	э эгэрдэ булса, аны кулында тотарга кирэк, минемчэ)
454	жибэр кутакны,жунсез кыз,озэсен бит,садист	кутакны,жунсез кыз,озэсен бит,садист
455	сектегез инде шул футбол белән,кутакларыма кирәк иде.	футбол белән,кутакларыма кирәк
456	Бала чага булмагыз инде жиен кутак баш сузеннэн кытырып	жиен сузеннэн
457	не секрет Анваровлар кутак башлар алар	не секрет Анваровлар
458	Бу группада кутак чэйнэп  утыручылар куп икэн, берсеннэн берсе умный блээт))	группада чэйнэп утыручылар берсеннэн берсе
459	Бала чагалар кутак калган микэн олылар эшенэ кысылмасыннар иде	чагалар калган эшенэ кысылмасыннар
460	Синен кутак эшен бармы минем хэлдэ врач чтоли	Синен эшен бармы минем хэлдэ
461	Купме эчэсе килэ,шул чаклым эчсен бала,нэмэ ана чамалап кына бирергэ,аз да булмасын hэм мэжбури дэ эчертергэ кирэкми,ул педиатр кутак белсен мени балага купме кирэк икэнен,бала купме эчэсе килэ,шул чаклым эчэ инде ул...	Купме эчэсе килэ,шул чаклым эчсен бала,нэмэ ана чамалап кына бирергэ,аз да булмасын hэм мэжбури дэ эчертергэ кирэкми,ул педиатр белсен мени балага купме кирэк икэнен,бала купме эчэсе килэ,шул чаклым эчэ
462	синен кутак эшен барма минем нишлэгэнемдэ	синен эшен минем нишлэгэнемдэ
463	минем сине ни эшлэвендэ кутак та эшем ачуым килмэгэе, но белэт узеннэн шундый принцесса язадын син...	минем ни эшлэвендэ та эшем ачуым килмэгэе, но узеннэн принцесса язадын
464	бер вакыт бер псих килэдэ,пиздец егетлэр,качып булмый ди.	бер вакыт бер псих килэдэ,пиздец егетлэр,качып булмый ди.
465	Баш эшлэми, кутак тора))	тора))
466	кутак та анламадым..	та анламадым..
467	кутак чэйнэп утырмасын монда,и хули монда яза андый сораулары белэн,сайт знакомствлар до хуя и больше.	чэйнэп яза андый сораулары белэн,сайт знакомствлар до хуя и больше.
468	Кутакбашлар шикелле чабып йорилэр дэ,эчеп, ангары авызларын бэтэклэндереп жылый башлыйлар	чабып йорилэр дэ,эчеп, ангары авызларын бэтэклэндереп жылый
469	)))арча авылында кутакта юк анда)	)))арча авылында анда)
470	Мартнын 8е кутак аларга ! ))	Мартнын 8е ! ))
471	Казанда кутак яумаган эле	Казанда эле
472	Бу кутакбаш килэме буген юкмы?	килэме буген юкмы?
473	Хэ куп мозга сегеп утырсан вообще бармыйм	Хэ мозга утырсан вообще бармыйм
474	Кутак башлар басып алган туган илебезне!	басып алган илебезне!
475	Чыннан да татар кызлары ин шэп хэм  матур,шуны да белмэгэч экэлэне нигэ кутакка тагып йорергэ сон ))	Чыннан да шэп хэм матур,шуны да белмэгэч экэлэне йорергэ сон ))
476	Бляш .....кая без катимся, раз ул сине кияуга алган ул мудак	.....кая без катимся, раз кияуга алган
477	Сабыйлар дигэн була, бер кутак башы ускэн бит.	дигэн була, бер ускэн
478	мин улгэч балаларым "Бабайдан куттакта калмаган " димэсен	мин улгэч балаларым калмаган " димэсен
479	актанышта нинди кутак баш форпостниклар барлыкка килгэн ул??	нинди форпостниклар барлыкка килгэн
480	нэрсэ ул монда оныткан бу кутак баш))	оныткан
481	кутак чэйнэп утырасын	чэйнэп
482	кутак илэргэ ботенесе дэ оста инде ул;)	илэргэ ботенесе дэ оста
483	минем бывший Актаныш районыннан, хэм ул мудак!	минем бывший районыннан, хэм
484	Ошатып аралашкан кызын сина кунакка килеп, башка егет бн икенче булмэгэ кунырга кереп китсен инде, пиздец инде бу.	Ошатып аралашкан кунакка бн икенче булмэгэ кунырга кереп китсен
485	Сегелеп бетегез,хэркемнен уз кайгысы узенэ иткэн,кендез стабикэ,абыстай,тенен,шмаралар сез,матур сузгэ кутак суырып йерисез	Сегелеп бетегез,хэркемнен кайгысы узенэ иткэн,кендез стабикэ,абыстай,тенен,шмаралар сез,матур сузгэ йерисез
486	Улым, коялэнмэ, бирэлмэсэн, авылда калырсын, тракторист булырсын, булт борырсын, кутак жоны кырырсын.	Улым, коялэнмэ, бирэлмэсэн, авылда калырсын, тракторист булырсын, булт борырсын, жоны кырырсын.
487	Петросян, блэ!	Петросян,
488	пиздец хэзерге яшьлэр	хэзерге яшьлэр
489	Эй блэт ташлар идем послать итер идем дип торалар кеше колкесе.	послать итер дип торалар колкесе.
490	Секте мине бу бала-чагалар..!	Секте мине бала-чагалар..!
491	Кысылмасалар иде, блэт	Кысылмасалар
