ID	tat_toxic	tat_detox1
206	шулайдырда Но,хэзерге заманда аларны аякка бастыруыыыы Казан урамы буйлап кул сузып утыралар, тыккан берен табып баргач чурка хатыннары  Аллам узе сакласын алай йорулэрдэн...	шулайдырда Но,хэзерге заманда аларны аякка бастыруыыыы Казан урамы буйлап кул сузып утыралар, тыккан берен табып баргач чурка хатыннары  Аллам узе сакласын алай йорулэрдэн...
207	блэт,салават чемпион,ну быел таралып кына бара, и нихуя да уйнамыйлар	блэт,салават чемпион,ну быел таралып кына бара, и нихуя да уйнамыйлар
208	нигэ ярьдэм сораган барлык просьба лохотрон диеп уйлыйлар сон?	нигэ ярьдэм сораган барлык просьба лохотрон диеп уйлыйлар сон?
209	ахах=))) бул катэ совсем ахуел инде))	ахах=))) бул катэ совсем ахуел инде))
210	Хэзер как то пох*й ... Нахуй сон мина дидем..	Хэзер как то пох*й ... Нахуй сон мина дидем..
211	30 яшлек егет....пиздец	30 яшлек егет....пиздец
212	Анын булган ди ике малае ике маржа малайлары дии)	Анын булган ди ике малае ике маржа малайлары дии)
213	хуйня ул, главный тазалык булсын_))	хуйня ул, главный тазалык булсын_))
214	бля минем 165 кэ 2 см житми,нишлэргэ булыр инде	бля минем 165 кэ 2 см житми,нишлэргэ булыр инде
215	Эх сееез, херов бизнесменнар)))	Эх сееез, херов бизнесменнар)))
216	маржа килен булса, шулай узен селкенеп торасын кухняда.	маржа килен булса, шулай узен селкенеп торасын кухняда.
217	Ник соң русча язасыз, әллә марҗалармы сез?)	Ник соң русча язасыз, әллә марҗалармы сез?)
218	Нихуясе	Нихуясе
219	Автор, син ахуел?	Автор, син ахуел?
220	Бүген бер марҗа апа: \"Татарларга сокланам, ерак туган булса да, ничек тә булса больницада яткан туганының хәлен белә, ә менә бездә алай түгел\",-диде.	Бүген бер марҗа апа: \"Татарларга сокланам, ерак туган булса да, ничек тә булса больницада яткан туганының хәлен белә, ә менә бездә алай түгел\",-диде.
221	кемгэдер кызык кирэк булгандыр инде сволочьлар!!!	кемгэдер кызык кирэк булгандыр инде сволочьлар!!!
222	заебись шуна курэ хайваннар ашый ич инде	заебись шуна курэ хайваннар ашый ич инде
223	Моның я әнисе марҗа, я әтисе урыс.	Моның я әнисе марҗа, я әтисе урыс.
224	Мин админ тугел блэт	Мин админ тугел блэт
225	заебись татарча жырлары калдырыгыз эле коментта пж) ( хуевыйларны калдырмагыз)	заебись татарча жырлары калдырыгыз эле коментта пж) ( хуевыйларны калдырмагыз)
226	иии халык сектерегэ ярата да инде!	иии халык сектерегэ ярата да инде!
227	син исерек аунап яткан чакта как будто тату ясатырлык хэлен буламы?	син исерек аунап яткан чакта как будто тату ясатырлык хэлен буламы?
228	эз генэ булса да толковырак наеб уйла инде	эз генэ булса да толковырак наеб уйла инде
229	тиеп кенэ карасыннар сина атам нахуй)))))	тиеп кенэ карасыннар сина атам нахуй)))))
230	пиздеееец гафу сузлэрем очен ....	пиздеееец гафу сузлэрем очен ....
231	Син нәрсә сөйлисең,себерке,авызыңны чамалап ач,- дип җикеренде Зөфәр.	Син нәрсә сөйлисең,себерке,авызыңны чамалап ач,- дип җикеренде Зөфәр.
232	Анжелика тагын бэтэк или башлада хааааа))))	Анжелика тагын бэтэк или башлада хааааа))))
233	всЁ укып бетердем,реально кызларга тиз ышанырга ярамый бляя...	всЁ укып бетердем,реально кызларга тиз ышанырга ярамый бляя...
234	куп сегенеп йорсэн кайдада сегеп китэлэр))	куп сегенеп йорсэн кайдада сегеп китэлэр))
235	ахуенчик	ахуенчик
236	Ак чәчле кызлар марҗалар белән ассоцицациям.	Ак чәчле кызлар марҗалар белән ассоцицациям.
237	ботен дуслар авылда, э мин лох кебек казанда квартирада утырам	ботен дуслар авылда, э мин лох кебек казанда квартирада утырам
238	Тагын сегеп ятырга 18 яшьлек кызда кирэкмиме сон	Тагын сегеп ятырга 18 яшьлек кызда кирэкмиме сон
239	бер бака булдын инде,блэт!)	бер бака булдын инде,блэт!)
240	Теш сызлый эле монда, хуйня бу проблема	Теш сызлый эле монда, хуйня бу проблема
241	Чын татар егете марҗага өйләнми!	Чын татар егете марҗага өйләнми!
242	Балаларыгыз  блять	Балаларыгыз  блять
243	Юлда бер ахмакка эзерэк!	Юлда бер ахмакка эзерэк!
244	бля ничек жуеш чиремде корешеп була инде?	бля ничек жуеш чиремде корешеп була инде?
245	Ясасалар да БЕР хуйня гына булыр инде.	Ясасалар да БЕР хуйня гына булыр инде.
246	Саба Гимназиясы егетлэре ахуенны:)	Саба Гимназиясы егетлэре ахуенны:)
247	Чаллыда китереп тарты нахуй янгыр кук ишелэ дип торам писнец булды койды чилэкляп:-o	Чаллыда китереп тарты нахуй янгыр кук ишелэ дип торам писнец булды койды чилэкляп:-o
248	белмим бутэннэрнен ничек тер но минем килеп чыга,а лохотроном дип ондэшэлэр кемнен килеп чыкмый,либо ленивый настолько...	белмим бутэннэрнен ничек тер но минем килеп чыга,а лохотроном дип ондэшэлэр кемнен килеп чыкмый,либо ленивый настолько...
249	\"насрать\" икән, күтеңне бөтен җиргә тыгып йөрмә	\"насрать\" икән, күтеңне бөтен җиргә тыгып йөрмә
250	Алмаз, картайгач узенне маржа гроб ка салып жирляся аерманы курерсен	Алмаз, картайгач узенне маржа гроб ка салып жирляся аерманы курерсен
251	Актанышта инде берэр проблема чыкса , проблеманыны решайтучесе менэ шулай башлый: Нэмэ нахуй !!!))))	Актанышта инде берэр проблема чыкса , проблеманыны решайтучесе менэ шулай башлый: Нэмэ нахуй !!!))))
252	29.03.14 ахуенный бер эйбер булды Актанытаа)	29.03.14 ахуенный бер эйбер булды Актанытаа)
253	ахуенный биедегез	ахуенный биедегез
254	Авылда бер маржа бушка товар таратып йори	Авылда бер маржа бушка товар таратып йори
255	но бэтэкне саклап йорергэме инде алар очен хэзер.алтын кутак тапканчы.	но бэтэкне саклап йорергэме инде алар очен хэзер.алтын кутак тапканчы.
256	Рамис Абзый блядь нинди контра инде?	Рамис Абзый блядь нинди контра инде?
257	Гта 5 бэрергэ кирэк уже,нефига утеп булмый	Гта 5 бэрергэ кирэк уже,нефига утеп булмый
258	Тагын маржача язарга тотындылар=((((	Тагын маржача язарга тотындылар=((((
259	шундый ук хуйня булды;)	шундый ук хуйня булды;)
260	Бик охуенный жырлар!	Бик охуенный жырлар!
261	авызыгызны сегим сугенмэгез эле иптэшлэр) гонах бит)	авызыгызны сегим сугенмэгез эле иптэшлэр) гонах бит)
262	Хуш, кукэем, сау бул, мин килгэнче дэу бул!	Хуш, кукэем, сау бул, мин килгэнче дэу бул!
263	Эээ, оныта язганмын, мэхэбэтэклэренэ миннэн бик зур хэм кайнар сэлэм!!!	Эээ, оныта язганмын, мэхэбэтэклэренэ миннэн бик зур хэм кайнар сэлэм!!!
264	Минемчэ хэр бер тартар баласына шулай эйтэлэр: Балам маржалар белэн ери курмэ!	Минемчэ хэр бер тартар баласына шулай эйтэлэр: Балам маржалар белэн ери курмэ!
265	Илхам магазинындагы сатучы акча чутлый белми,мин бирдем ана 10сум хэм сатып алдым 7сумлык бер херняны,и она мне дала сдачу 7руб.	Илхам магазинындагы сатучы акча чутлый белми,мин бирдем ана 10сум хэм сатып алдым 7сумлык бер херняны,и она мне дала сдачу 7руб.
266	Егетлэр маржа сезне мэнге хормэт итмэячэк ,хыялланмагыз .	Егетлэр маржа сезне мэнге хормэт итмэячэк ,хыялланмагыз .
267	Хормэт итеп татар телен ойрэнгэн бер генэ маржаны курсэтегез яисэ татар гореф гэдэтен тоткан ислам кабул иткэн …	Хормэт итеп татар телен ойрэнгэн бер генэ маржаны курсэтегез яисэ татар гореф гэдэтен тоткан ислам кабул иткэн …
268	Чаллыда квартира снимать итергэ кеше кирэк:) хуйня-муйня язмагыз))	Чаллыда квартира снимать итергэ кеше кирэк:) хуйня-муйня язмагыз))
269	Бэз татар, бэз булдырабыз, анаболики для лохов!!!!	Бэз татар, бэз булдырабыз, анаболики для лохов!!!!
270	я хуею урманда да урам исемнэре бар икэн	я хуею урманда да урам исемнэре бар икэн
271	Безнен урамнан йогерэ башласан,  дунгыз булып кайтырсын	Безнен урамнан йогерэ башласан,  дунгыз булып кайтырсын
272	Каян килгэн дунгыз тагын ?	Каян килгэн дунгыз тагын ?
273	Нык матур итеп ял иткэннэр шушы коннэрдэ э артыннан жыештырмаганнар мэгэнэсез жыен!	Нык матур итеп ял иткэннэр шушы коннэрдэ э артыннан жыештырмаганнар мэгэнэсез жыен!
274	 Бу кул янында ял итучелэр (дунгызлыр)!	 Бу кул янында ял итучелэр (дунгызлыр)!
275	Аларның дуңгызлар икәнен болай  да белә идек,тагы бер кат расладылар.	Аларның дуңгызлар икәнен болай  да белә идек,тагы бер кат расладылар.
276	Стена артындагы “дуңгыз”, карават пружиналарын шыгырдатып, икенче ягына әйләнеп ятты бугай.	Стена артындагы “дуңгыз”, карават пружиналарын шыгырдатып, икенче ягына әйләнеп ятты бугай.
277	Бирән, төнлә дә күшәп ятмасаң!	Бирән, төнлә дә күшәп ятмасаң!
278	Кызлар мин теге конне качкан дунгыз малаен таптым.	Кызлар мин теге конне качкан дунгыз малаен таптым.
279	мин аны дунгыз урынына эчеп йоридер дип эзлэп йорим,собаканы	мин аны дунгыз урынына эчеп йоридер дип эзлэп йорим,собаканы
280	Мин дэ шулай уйлыйым...лэкин бар дунгыз кешелер,кемдэ икенче уй бар(	Мин дэ шулай уйлыйым...лэкин бар дунгыз кешелер,кемдэ икенче уй бар(
281	Дуңгызлар үзләренең дуңгызлыкларын тагы бер кат расладылар.	Дуңгызлар үзләренең дуңгызлыкларын тагы бер кат расладылар.
282	Нинди дуңгыз бу	Нинди дуңгыз бу
283	баланы шулай мыскыл итеп була мени ..., дунгызлар ((	баланы шулай мыскыл итеп була мени ..., дунгызлар ((
284	Тагын дуңгыз булып кайткан!	Тагын дуңгыз булып кайткан!
285	дунгыз булганчы эчергэ 11 калды	дунгыз булганчы эчергэ 11 калды
286	Теге дунгыз айныган бит.	Теге дунгыз айныган бит.
287	Таеп егылсаң, \"дуңгыз булганчы эчкән\"...	Таеп егылсаң, \"дуңгыз булганчы эчкән\"...
288	эх син ужым бозавы,тагын дунгыз булгансын бит инде=)))))))))))	эх син ужым бозавы,тагын дунгыз булгансын бит инде=)))))))))))
289	Тагын дуңгыз булып кайткан!	Тагын дуңгыз булып кайткан!
290	укол ясаганда егет кутен карап торырга вакыт юк	укол ясаганда егет кутен карап торырга вакыт юк
291	Чыксан кутенне сегэлэр, тоннэ куренми, тэрэзэдэн башынны чыгарып йорергэ кирэк))))	Чыксан кутенне сегэлэр, тоннэ куренми, тэрэзэдэн башынны чыгарып йорергэ кирэк))))
292	курэм, кутенэ бераз бирэсе бар.	курэм, кутенэ бераз бирэсе бар.
293	ни ошамый сина... гел кешегэ бэйлэнэсен, лучше авызынны ябып,кутенне кысып кына утырсан иде.. ошамый икэн, ут тэ кит..	ни ошамый сина... гел кешегэ бэйлэнэсен, лучше авызынны ябып,кутенне кысып кына утырсан иде.. ошамый икэн, ут тэ кит..
294	Ашама,кутен кортлый	Ашама,кутен кортлый
295	Эйтмэ дэ, тотып эшкерэсе нэрсэ!!!))))))	Эйтмэ дэ, тотып эшкерэсе нэрсэ!!!))))))
296	Нинди спорт ди ана, кутен кутэреп йоклый энэ)))))))	Нинди спорт ди ана, кутен кутэреп йоклый энэ)))))))
297	ул татарлардагына бар           балам башына ки кутен ката бит	ул татарлардагына бар           балам башына ки кутен ката бит
298	Ә авыл бәдрәфе вапще жәннәт инде,жәй көне чебен тулган,кыш көне күт ката	Ә авыл бәдрәфе вапще жәннәт инде,жәй көне чебен тулган,кыш көне күт ката
299	Кечерткән белән күтенә	Кечерткән белән күтенә
300	кайсы тилелэрегез укырга барды буген??)	кайсы тилелэрегез укырга барды буген??)
301	Җаныма җитсәң, күтеңә каеш эләгәчәк!	Җаныма җитсәң, күтеңә каеш эләгәчәк!
302	Все кызыйкалар куп суз ,какашка суз ,тыныч йокы )	Все кызыйкалар куп суз ,какашка суз ,тыныч йокы )
303	Че-то күтем сизә,редакциягә хә хатлар белән бөтен илдән бамбук киләчәк:))	Че-то күтем сизә,редакциягә хә хатлар белән бөтен илдән бамбук киләчәк:))
304	Инәңнең күте, монда эзләнсәң н игенә юк) атан бн анаң гына юк, тырышсаң анысында табып була)	Инәңнең күте, монда эзләнсәң н игенә юк) атан бн анаң гына юк, тырышсаң анысында табып була)
305	Син шул төшеңдә генә шпилить итеп йөр инде аны.	Син шул төшеңдә генә шпилить итеп йөр инде аны.
306	вот блин ә ( мин сиңабер дигән егет таптым ә син аның күтенә типтең дисә дә була	вот блин ә ( мин сиңабер дигән егет таптым ә син аның күтенә типтең дисә дә була
307	кем ангыра инде?))))))))))	кем ангыра инде?))))))))))
308	Хыялланып утырма, пәп ит әнә күтемне!!!	Хыялланып утырма, пәп ит әнә күтемне!!!
309	Дәү әни әйтмешли, күкнең күте тишелгән))))	Дәү әни әйтмешли, күкнең күте тишелгән))))
310	Шайтан кутагы турында фикер белдерелде.	Шайтан кутагы турында фикер белдерелде.
311	Күте, күзләре һәм тәненең башка өлешләре турында нәрсә әйтеп була икән?	Күте, күзләре һәм тәненең башка өлешләре турында нәрсә әйтеп була икән?
312	тиле кебек Саратовка күтемне күтәреп киттем, ә миңа монда әлдә 2 ел торырга.	тиле кебек Саратовка күтемне күтәреп киттем, ә миңа монда әлдә 2 ел торырга.
313	Әгәр дөнья сиңа күте белән борылса, күтенә тип	Әгәр дөнья сиңа күте белән борылса, күтенә тип
314	күтең с...п эшләрсең, мин ял итәм)))	күтең с...п эшләрсең, мин ял итәм)))
315	Әгәрдә дөнья сезгә күте белән борылган икән..тибегез	Әгәрдә дөнья сезгә күте белән борылган икән..тибегез
316	күтеңнән пар чыкканчы бие	күтеңнән пар чыкканчы бие
317	Мин аларның керәшен булганнары өчен түгел, ә безнең Татар милләтенең бер өлеше булган өчен  \"күтемне ертам\".	Мин аларның керәшен булганнары өчен түгел, ә безнең Татар милләтенең бер өлеше булган өчен  \"күтемне ертам\".
318	Сезнең моны аңларлык миегез генә юк.	Сезнең моны аңларлык миегез генә юк.
319	Ноктаңны күтеңә тык...	Ноктаңны күтеңә тык...
320	хуйня ул,тазалык кына булсын)беткэн чтоль кеше..:)	хуйня ул,тазалык кына булсын)беткэн чтоль кеше..:)
321	Вэт сугенергэ мэжбур итэ)))) блять))	Вэт сугенергэ мэжбур итэ)))) блять))
322	Хэ шулай язып - эйтеп карасынлар але блять	Хэ шулай язып - эйтеп карасынлар але блять
323	Ну бляха-муха безнен авылда кызлар урысоар артларыннан чабып йорилэр.	Ну бляха-муха безнен авылда кызлар урысоар артларыннан чабып йорилэр.
324	кысасы килэ Инде ул урыслардан.	кысасы килэ Инде ул урыслардан.
325	Акыллы әйтер — юл куйдым, ахмак әйтер — җиңдем.	Акыллы әйтер — юл куйдым, ахмак әйтер — җиңдем.
326	мин бу кызларга ахуеваю!	мин бу кызларга ахуеваю!
327	болай да анлашыла бит, нахуй бэйлэнэсез кешегэ)	болай да анлашыла бит, нахуй бэйлэнэсез кешегэ)
328	Бала чага хуйнясе  энэн бэтэге эшлэ инде	Бала чага хуйнясе  энэн бэтэге эшлэ инде
329	Ә Амалия, Илларияларны мескен, үз татарлыкларыннан оялган ахмаклар гына кушадыр ул.	Ә Амалия, Илларияларны мескен, үз татарлыкларыннан оялган ахмаклар гына кушадыр ул.
330	Нинди абсурд, нинди ахмак сорау?	Нинди абсурд, нинди ахмак сорау?
331	Аңламыйча, ахмак, эшнең төбен,	Аңламыйча, ахмак, эшнең төбен,
332	хуйня ул, минем абый мине кыйнаган вакыты да булды саташып_)))	хуйня ул, минем абый мине кыйнаган вакыты да булды саташып_)))
333	башын исэн булсын:)калганы хуйня	башын исэн булсын:)калганы хуйня
334	Ул кызнын долбоеб икэнен генэ анлата.	Ул кызнын долбоеб икэнен генэ анлата.
335	Белемсезлектән һәм бу илнең пропагандасыннан чыккан мәгънәсез ахмаклык ул. 	Белемсезлектән һәм бу илнең пропагандасыннан чыккан мәгънәсез ахмаклык ул. 
336	Рамис, ул бит синнэн хуйнямы бу дип сормаган	Рамис, ул бит синнэн хуйнямы бу дип сормаган
337	Акыллы кешеләр ярдәм итәр,ә көлүче ахмаклар булса,аларга төкерегез.	Акыллы кешеләр ярдәм итәр,ә көлүче ахмаклар булса,аларга төкерегез.
338	телевизор аша алар телэгэн гавноинформация бара бит.	телевизор аша алар телэгэн гавноинформация бара бит.
339	э безнен ,комп аша утыра алмаган бабай-этилэр шул гавно инфага ышанып утыралар.	э безнен ,комп аша утыра алмаган бабай-этилэр шул гавно инфага ышанып утыралар.
340	хуйня ул, главный тазалык булсын_)))	хуйня ул, главный тазалык булсын_)))
341	моны синен егетен укыса ахуеет дина	моны синен егетен укыса ахуеет дина
342	дура бляадь тупая ,оныта алма мине,укен гомерен буе!!!	дура бляадь тупая ,оныта алма мине,укен гомерен буе!!!
343	Юк бля сине	Юк бля сине
344	Баланны берэр еблан шушы хуйняга утыртса?	Баланны берэр еблан шушы хуйняга утыртса?
345	бля мин баралмыйм))	бля мин баралмыйм))
346	ну теге иине бар бит ине шунда баай теге айбер инда беласен але аны бар бит ине бер нарсса,ну анлаталмыйм ине ну теге ине все теге бля теге дим мин сина	ну теге иине бар бит ине шунда баай теге айбер инда беласен але аны бар бит ине бер нарсса,ну анлаталмыйм ине ну теге ине все теге бля теге дим мин сина
347	Ваемсыз халык шундый аермасын сизмэсэ, ботенлэй ахмак, надан икэне.	Ваемсыз халык шундый аермасын сизмэсэ, ботенлэй ахмак, надан икэне.
348	Тэки тузмэдем, ачуны чыгардыгыз юк бар нэрсэ бн блять	Тэки тузмэдем, ачуны чыгардыгыз юк бар нэрсэ бн блять
349	Ну блин мындый хуйняны язмыйлар бит Инде)))	Ну блин мындый хуйняны язмыйлар бит Инде)))
350	Заипали бу сорауларыгыз бн	Заипали бу сорауларыгыз бн
351	бля братан сине тагымыйм мин, Татарстан дигэч гэрсэ эйткэнне бик яхшы ан,ладын бит син	бля братан сине тагымыйм мин, Татарстан дигэч гэрсэ эйткэнне бик яхшы ан,ладын бит син
352	Нахуй бы жибэрер идем,алдан уйларга кирэк,ул мина ошамый дип йорисе тугел	Нахуй бы жибэрер идем,алдан уйларга кирэк,ул мина ошамый дип йорисе тугел
353	хуйня ул, главный тазалык булсын_)	хуйня ул, главный тазалык булсын_)
354	Тик бу ахмак сүзне әйтер алдыннан,күп итеп акча туплап куярга онытмагыз.	Тик бу ахмак сүзне әйтер алдыннан,күп итеп акча туплап куярга онытмагыз.
355	урысларга ярарга тырышып исем фамилияне узгэрту ахмаклык инде ул.	урысларга ярарга тырышып исем фамилияне узгэрту ахмаклык инде ул.
356	йормэсен иде долбаеб белэн, монда язып какой толк инде аны	йормэсен иде долбаеб белэн, монда язып какой толк инде аны
357	Менэ яхшы сузлэр бу ичмасам)хуйня \"гонять\" итеп тэк утыра)	Менэ яхшы сузлэр бу ичмасам)хуйня \"гонять\" итеп тэк утыра)
358	Анын исэрлэнгэнен курсэгез, ушыгыз бетэ, слишком выебывается, ул бии белсэ эле можно промолчать.	Анын исэрлэнгэнен курсэгез, ушыгыз бетэ, слишком выебывается, ул бии белсэ эле можно промолчать.
359	иртэгэ 1нче апрель,алданып бетербез инде бля))))	иртэгэ 1нче апрель,алданып бетербез инде бля))))
360	Хэ бля йогерэм сина акча салырга хахаха. Сектем эле.	Хэ бля йогерэм сина акча салырга хахаха. Сектем эле.
361	Аллаһы Тәгаләнең кануннары туктамыйча эшли, берәр милләт, дәүләт яки башка бер төркемгә аерым таләпләр кагылганын уйлау ахмаклык. 	Аллаһы Тәгаләнең кануннары туктамыйча эшли, берәр милләт, дәүләт яки башка бер төркемгә аерым таләпләр кагылганын уйлау ахмаклык. 
362	хуйня га эйлэндереп бетерделэр группаны	хуйня га эйлэндереп бетерделэр группаны
363	Ой бля ботенесе умный шундый	Ой бля ботенесе умный шундый
364	ир булгач кукэемэ спрашивайларда утыра соң ул, семейный эшлэр бн шөгыллэнсен	ир булгач кукэемэ спрашивайларда утыра соң ул, семейный эшлэр бн шөгыллэнсен
365	Анон, айда не бзди, эле генэ шулай сойлэнэсен син.	Анон, айда не бзди, эле генэ шулай сойлэнэсен син.
366	бляха муха..вот ошый, гашыйк будым шул машинага	бляха муха..вот ошый, гашыйк будым шул машинага
367	Синен бер генэ тон йокламаганын хуйня ул)мин анын белэн ботенлэй саубуллаштым)	Синен бер генэ тон йокламаганын хуйня ул)мин анын белэн ботенлэй саубуллаштым)
368	Доресен эйтэм кайбер пешиход охуевать итэ)	Доресен эйтэм кайбер пешиход охуевать итэ)
369	Гулечка, Резеда, мозга сегеп утырмагыз, сез алай да булдыра алмыйсыздыр эле	Гулечка, Резеда, мозга сегеп утырмагыз, сез алай да булдыра алмыйсыздыр эле
370	Бля , заебали жырнын сузлэрен язып	Бля , заебали жырнын сузлэрен язып
371	Шуннан бер маржа эбиен керэдэ	Шуннан бер маржа эбиен керэдэ
372	Хатын кыз исэр инде ул,кием заказать итэ материал не-то,чэчэк заказать итэ черегэн,торт заказать итэ ошамый,кут...ма магазиннан белгэн жирдэн барып алмый ??	Хатын кыз исэр инде ул,кием заказать итэ материал не-то,чэчэк заказать итэ черегэн,торт заказать итэ ошамый,кут...ма магазиннан белгэн жирдэн барып алмый ??
373	Узегез гаепле барышнялар хэзер ботен эйбердэ бар магазиннарда ,очсызга алам диеп хуета аласыз аннары жылыйсыз	Узегез гаепле барышнялар хэзер ботен эйбердэ бар магазиннарда ,очсызга алам диеп хуета аласыз аннары жылыйсыз
374	маржа да шул татар инде ул	маржа да шул татар инде ул
375	андыйлар дохуя	андыйлар дохуя
376	Ләкин вакыт узган була, хатын марҗа, балалар урыслар, урыс гаиләсе була, хөрмәт юкка чыга, талашулар башлана.	Ләкин вакыт узган була, хатын марҗа, балалар урыслар, урыс гаиләсе була, хөрмәт юкка чыга, талашулар башлана.
377	Мунча заебись ,кара мунча булмаса.	Мунча заебись ,кара мунча булмаса.
378	Кайберлэре маржалардан да арттыра!	Кайберлэре маржалардан да арттыра!
379	Аның хатыны марҗа, шуңа күрә аңлап бетерми.	Аның хатыны марҗа, шуңа күрә аңлап бетерми.
380	Матрешка марҗаларныкы	Матрешка марҗаларныкы
381	Татарча сөйләшәбез,ләкин,балалар бакчасының марҗа тәрбиячесе белән аралашу,балага тискәре йогынты ясый.	Татарча сөйләшәбез,ләкин,балалар бакчасының марҗа тәрбиячесе белән аралашу,балага тискәре йогынты ясый.
382	дискотекага жырлар жибэрегез))прям охуенныларны))	дискотекага жырлар жибэрегез))прям охуенныларны))
383	Bäräkät дип яза башласак татарлар тилерә башлаган диярләр	Bäräkät дип яза башласак татарлар тилерә башлаган диярләр
384	минем киленнэр маржа	минем киленнэр маржа
385	чыктым аркылы купер булды бу..маржадан башланып киткэн иде, анары яшкы бн энесе, шуннан сон бурегэ эйлэнде.. 	чыктым аркылы купер булды бу..маржадан башланып киткэн иде, анары яшкы бн энесе, шуннан сон бурегэ эйлэнде.. 
386	Форднын 2гына Эйбэт 3 кузов Зур эчендэ урын Юк ни хуя.	Форднын 2гына Эйбэт 3 кузов Зур эчендэ урын Юк ни хуя.
387	Безнен егетлэр ин чибэрлэр,маржалардан караганда)))	Безнен егетлэр ин чибэрлэр,маржалардан караганда)))
388	Әгәр без хәзер бабалардан калган мирасларны сакламасак киләчәк буыннарыбыз урыс марҗалардан ким булмас.	Әгәр без хәзер бабалардан калган мирасларны сакламасак киләчәк буыннарыбыз урыс марҗалардан ким булмас.
389	Синен кебек тилелэр булса гына инде	Синен кебек тилелэр булса гына инде
390	мин сине маржага бирмим)	мин сине маржага бирмим)
391	сегеп салды инде ул))	сегеп салды инде ул))
392	Хомзин заебал барда кайт инде	Хомзин заебал барда кайт инде
393	Кутлэрен сегеп бетерэсе бар аларнын	Кутлэрен сегеп бетерэсе бар аларнын
394	Татарча гына язмыйлар,күбрәк марҗача.	Татарча гына язмыйлар,күбрәк марҗача.
395	булыр бар ул ташлашсан аннары охуеешь как тяжело	булыр бар ул ташлашсан аннары охуеешь как тяжело
396	Язып тормыйм инде, а то охуеете	Язып тормыйм инде, а то охуеете
397	менә җәмәгать, бәрәнгене корт басты, ә авылны марҗа басты...	менә җәмәгать, бәрәнгене корт басты, ә авылны марҗа басты...
398	бер \"маржа\" килгэн ич )))) укытучылар аны ойретергэ телилэр)) поп корн алып хэм карап момкинлек бар)))	бер \"маржа\" килгэн ич )))) укытучылар аны ойретергэ телилэр)) поп корн алып хэм карап момкинлек бар)))
399	булды инде бер тапкыр,узе гаепле,илялэнделэр белэт,хэр бер кургэн кешегэ мин сине яратам диергэ,тора башлагач мавыгу гына дилэр,фу как сез заебали.	булды инде бер тапкыр,узе гаепле,илялэнделэр белэт,хэр бер кургэн кешегэ мин сине яратам диергэ,тора башлагач мавыгу гына дилэр,фу как сез заебали.
400	Ләкин татар нидер үзенекен уйлый башласа, марҗаның каны кыза башлый	Ләкин татар нидер үзенекен уйлый башласа, марҗаның каны кыза башлый
401	Күрерсегез, килеп чыга хәзер марҗалар белән йөргән-торган әдәмнәр, яклый башларлар.	Күрерсегез, килеп чыга хәзер марҗалар белән йөргән-торган әдәмнәр, яклый башларлар.
402	2014нче ел ваще хуевый	2014нче ел ваще хуевый
403	татар кызлары юк) шуна курэ маржаларга эйлэнэлэр)	татар кызлары юк) шуна курэ маржаларга эйлэнэлэр)
404	Татар малае -маржа кызы белэн	Татар малае -маржа кызы белэн
405	Чистый маржа булган бу	Чистый маржа булган бу
406	Хәтта марҗа кызлары да безнең туган телне популярлаштыра, алга этәрә.	Хәтта марҗа кызлары да безнең туган телне популярлаштыра, алга этәрә.
407	карап утырдымда,уйлап куйдым эле,мин акшта укыган вакытта кечкенэ генэ булып йоргэн кызлар,хэзер бигрэк усеп киткэннэр,менэ тиз утэ икан гомер,мин прям даже прихуел бераз)))..	карап утырдымда,уйлап куйдым эле,мин акшта укыган вакытта кечкенэ генэ булып йоргэн кызлар,хэзер бигрэк усеп киткэннэр,менэ тиз утэ икан гомер,мин прям даже прихуел бераз)))..
408	татар кызы ир эзли,сез тилерешеп чыгасыз.	татар кызы ир эзли,сез тилерешеп чыгасыз.
409	б*эт татар палатасы пит бу, маржалар палатасы тугел ич	б*эт татар палатасы пит бу, маржалар палатасы тугел ич
410	эллэ минем тиле генэ тилерэме шул танчики дип?	эллэ минем тиле генэ тилерэме шул танчики дип?
411	безнен урам шундый заебись инде ул	безнен урам шундый заебись инде ул
412	Алмаз, сине тугел мине дэ сегеп ата кай вакыт))	Алмаз, сине тугел мине дэ сегеп ата кай вакыт))
413	Икесендэ карадым заебись фильм   	Икесендэ карадым заебись фильм   
414	татар кызларын хурлап язганнар шунын очен маржа алыгыз дидем.	татар кызларын хурлап язганнар шунын очен маржа алыгыз дидем.
415	Ипи кибетендэ,дененне сегим  	Ипи кибетендэ,дененне сегим  
416	Тик әнкәйдә дә әнисе язмышы - ир кайтмый,командирының кызы -марҗага өйләнеп,хезмәт иткән шәһәрендә кала.	Тик әнкәйдә дә әнисе язмышы - ир кайтмый,командирының кызы -марҗага өйләнеп,хезмәт иткән шәһәрендә кала.
417	юлэр син,ашамыйча кызлар куып йорисен	юлэр син,ашамыйча кызлар куып йорисен
418	Яра инде заеб кеше колдереп утырмагыз монда)))	Яра инде заеб кеше колдереп утырмагыз монда)))
419	маржа булса да ярый)	маржа булса да ярый)
420	Торкемгэ керэсен, кайчак аптырап куям-эллэ мин маржа торкеменэ ялгыш кердем микэн дип?	Торкемгэ керэсен, кайчак аптырап куям-эллэ мин маржа торкеменэ ялгыш кердем микэн дип?
